City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,monaghan,54.25,-6.9667,14.1,95,91,3.24,IE,1686269431
323,port saint john's,-31.6229,29.5448,16.82,62,6,3.06,ZA,1686269431
324,avarua,-21.2078,-159.775,27.03,69,100,5.66,CK,1686269432
325,chabahar,25.2919,60.643,30.28,74,1,3.04,IR,1686269432
326,deridder,30.8463,-93.289,31.21,73,0,3.09,US,1686269431
327,yatou,37.15,122.3833,22.36,43,36,3.71,CN,1686269433
328,demre,36.2537,29.9777,21.26,83,6,1.74,TR,1686269433
329,acapulco de juarez,16.8634,-99.8901,30.9,70,20,4.12,MX,1686269332
330,phalodi,27.1333,72.3667,30.04,51,0,7.85,IN,1686269433
331,puerto ayacucho,5.6639,-67.6236,23.69,92,92,1.36,VE,1686269433
332,shangqiu,34.45,115.65,28.91,42,0,5.75,CN,1686269433
333,antsiranana,-12.2787,49.2917,23.48,78,3,5.76,MG,1686269433
334,coyhaique,-45.5752,-72.0662,2.34,69,75,2.57,CL,1686269159
335,haiku-pauwela,20.9219,-156.3051,30.01,48,20,11.32,US,1686269434
336,fort-shevchenko,44.5086,50.263,20.85,61,51,5.72,KZ,1686269434
337,alaghsas,17.0187,8.0168,28.68,48,15,4.95,NE,1686269434
338,happy valley-goose bay,53.3168,-60.3315,5.63,70,82,1.97,CA,1686269434
339,yazykovo,55.2199,56.1353,7.31,94,38,2.78,RU,1686269434
340,laascaanood,8.4774,47.3597,24.61,73,95,10.48,SO,1686269434
341,yakeshi,49.2833,120.7333,12.03,79,96,3.49,CN,1686269434
342,miches,18.9836,-69.0476,27.34,75,83,3.47,DO,1686269435
343,la'ie,21.6477,-157.9253,28.98,74,71,1.79,US,1686269399
344,mumford,5.2618,-0.759,25.96,84,86,2.69,GH,1686269435
345,kavieng,-2.5744,150.7967,27.78,76,87,1.24,PG,1686269435
346,cannonvale,-20.2833,148.7,21.66,76,37,3.81,AU,1686269435
347,kesinga,20.2,83.2333,31.28,34,86,1.71,IN,1686269435
348,celestun,20.8667,-90.4,28.24,67,4,4.78,MX,1686269436
349,greenland,43.0362,-70.8328,15.03,87,75,0.0,US,1686269436
350,peace river,56.2501,-117.286,27.43,34,4,2.56,CA,1686269436
351,saint-louis,16.3333,-15.0,30.75,40,0,6.93,SN,1686269436
352,puerto princesa,9.7392,118.7353,28.72,73,18,2.04,PH,1686269436
353,cadale,2.7603,46.3222,26.14,85,70,7.68,SO,1686269436
354,tarko-sale,64.9225,77.785,4.92,70,36,6.16,RU,1686269436
355,saint-pierre,-21.3393,55.4781,21.82,60,0,3.09,RE,1686269436
356,abilene,32.4487,-99.7331,32.32,42,0,1.54,US,1686269437
357,bathsheba,13.2167,-59.5167,28.34,83,40,5.14,BB,1686269437
358,talara,-4.5772,-81.2719,23.92,82,85,7.53,PE,1686269437
359,mount isa,-20.7333,139.5,18.87,42,42,5.66,AU,1686269437
360,lhokseumawe,5.1801,97.1507,25.87,82,100,1.62,ID,1686269437
361,kudahuvadhoo,2.6708,72.8944,28.52,75,57,5.07,MV,1686269437
362,howard springs,-12.497,131.047,27.12,52,90,4.67,AU,1686269437
363,severo-yeniseyskiy,60.3725,93.0408,21.59,62,37,3.27,RU,1686269437
